ID,website,email_1,email_2,email_3,email_4,email_5,email_6,email_7,email_8,email_9,category_1,category_10,category_11,category_12,category_13,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9
143,https://979wvok.com/page.php?page_id=81,********@*****.***,,,,,,,,,,,,,,,,,,,,,
144,https://www.kjoy.com,*******@***************.***,,,,,,,,,,,,,,,,,,,,,
145,https://www.943theshark.com,*****@******************.***,,,,,,,,,,,,,,,,,,,,,
146,https://rockitfm.com,**@***.**,,,,,,,,,,,,,,,,,,,,,
147,https://kwoa.com,*******@****************.***,,,,,,,,,,,,,,,,,,,,,
148,https://www.770kaam.com/,******.******@********.**,******.******@***.**,,,,,,,,,,,,,,,,,,,,
149,https://www.fox10phoenix.com,*****@*****.***,,,,,,,,,,,,,,,,,,,,,
150,https://www.wcplfm.com/,*****.**@*******.***,,,,,,,,,,,,,,,,,,,,,
151,https://www.bartlesvilleradio.com,******@360***.**,,,,,,,,,,,,,,,,,,,,,
152,https://www.bartlesvilleradio.com,*****.*******@*********.***,,,,,,,,,,,,,,,,,,,,,
153,https://www.gowatertown.net,********.******@********.***,,,,,,,,,,,,,,,,,,,,,
154,https://www.wmsv.msstate.edu,********@****************.***,,,,,,,,,,,,,,,,,,,,,
155,https://www.wmsv.msstate.edu,*****@************.***,,,,,,,,,,,,,,,,,,,,,
156,https://www.wcno.com,**********@*******.***,,,,,,,,,,,,,,,,,,,,,
157,https://www.kkountry.com,*********.*******@***.**,,,,,,,,,,,,,,,,,,,,,
158,https://www.wjivradio.com,*************@***************.***,,,,,,,,,,,,,,,,,,,,,
159,,****@*****-*****.***,,,,,,,,,,,,,,,,,,,,,
160,,******.**@*****.***,,,,,,,,,,,,,,,,,,,,,
161,,*********@************.***,,,,,,,,,,,,,,,,,,,,,
162,https://minnesota.publicradio.org/radio/programs/all_things_considered,****.*********@***********.***,,,,,,,,,,,,,,,,,,,,,
163,https://www.mpr.org/listen/stations/knowksjn,***@******************.***,,,,,,,,,,,,,,,,,,,,,
164,https://www.kvor.com,*******@***.***,,,,,,,,,,,,,,,,,,,,,
165,https://www.wwltv.com,****@*************.***,,,,,,,,,,,,,,,,,,,,,
166,https://www.wwltv.com,***@*************.***,,,,,,,,,,,,,,,,,,,,,
167,https://www.coxsportstv.com/media-center/video/category/cst-tonight,*****@**********.***,,,,,,,,,,,,,,,,,,,,,
168,,******@*****************.***,,,,,,,,,,,,,,,,,,,,,
169,https://www.wnpt.org,******.*******@**.***,,,,,,,,,,,,,,,,,,,,,
170,https://www.wnpt.org,*******.****@************.***,,,,,,,,,,,,,,,,,,,,,
171,https://www.kcheradio.com,******.*********@***.**,,,,,,,,,,,,,,,,,,,,,
172,https://michaelstolertelevision.com,****@******.***,,,,,,,,,,,,,,,,,,,,,
173,https://www.cuny.tv,****.*********@***********.***,,,,,,,,,,,,,,,,,,,,,
174,https://www.fox40.com,******.*****@***********.***,,,,,,,,,,,,,,,,,,,,,
175,https://www.fox40.com,***********@***************.***,,,,,,,,,,,,,,,,,,,,,
176,https://www.cruisin1430.com,******.**********@**********.**,,,,,,,,,,,,,,,,,,,,,
177,https://www.azfamily.com,********@*******.***,,,,,,,,,,,,,,,,,,,,,
178,https://www.turnto10.com,****@**********.***,,,,,,,,,,,,,,,,,,,,,
179,https://www.turnto10.com,*******@406********.***,,,,,,,,,,,,,,,,,,,,,
180,https://www.turnto10.com,******@***************.***,,,,,,,,,,,,,,,,,,,,,
181,https://www.turnto10.com,******@**.**,,,,,,,,,,,,,,,,,,,,,
182,https://www.idahoptv.org/outdoors,******.********@************.**,******.********@***.**,,,,,,,,,,,,,,,,,,,,
183,https://www.wifefm.com,*****@************.***,,,,,,,,,,,,,,,,,,,,,
184,,*********@****.***,,,,,,,,,,,,,,,,,,,,,
185,https://www.cnbc.com/mad-money,****@******.*******,,,,,,,,,,,,,,,,,,,,,
186,https://www.networkknowledge.tv/capitolview,*****@*************.***,,,,,,,,,,,,,,,,,,,,,
187,https://www.krai.com,*******.**@*********.***,,,,,,,,,,,,,,,,,,,,,
188,https://www.am950radio.com,********@*****.***,,,,,,,,,,,,,,,,,,,,,
